Brand,Name,Chipset,Score,Price,URL,Timestamp,Note
Intel,Core i3 14100,None,-1,469,https://czone.my/czone/bx8071514100-1739103180.html,2025-03-19 14:21:03.468618,
Intel,Core i3-12100F,LGA1700,14090,339,https://brightstarcomp.com/collections/pc-components/products/intel-core-i3-12100f-lga1700-processor?_pos=28&_fid=d9d45494e&_ss=c,2025-03-18 22:10:08.565931,
Intel,Core i3-14100,LGA1700,15082,519,https://brightstarcomp.com/collections/pc-components/products/intel-core-i3-14100-lga1700-processor?_pos=29&_fid=d9d45494e&_ss=c,2025-03-18 22:10:08.565931,
Intel,Core i3-14100F,LGA1700,-1,379,https://brightstarcomp.com/collections/pc-components/products/intel-core-i3-14100f-lga1700-processor?_pos=30&_fid=d9d45494e&_ss=c,2025-03-18 22:10:08.565931,
Intel,Core i5 12400,None,-1,569,https://czone.my/czone/bx8071512400-1739103180.html,2025-03-19 14:21:03.565474,
Intel,Core i5 12400F,None,-1,439,https://czone.my/czone/bx8071512400f-1739103180.html,2025-03-19 14:21:03.565474,
Intel,Core i5 14400,None,-1,699,https://czone.my/czone/bx8071514400-1739103181.html,2025-03-19 14:21:03.468618,
Intel,Core i5 14400F,None,-1,609,https://czone.my/czone/bx8071514400f-1739103181.html,2025-03-19 14:21:03.468618,
Intel,Core i5-10500,LGA1200,13379,430,,,
Intel,Core i5-11400,LGA1200,16974,650,,,
Intel,Core i5-12400,LGA1700,19339,669,https://brightstarcomp.com/collections/pc-components/products/intel-core-i5-12400-lga1700-processor?_pos=31&_fid=d9d45494e&_ss=c,2025-03-18 22:10:08.565931,
Intel,Core i5-12400F,LGA1700,19516,499,https://brightstarcomp.com/collections/pc-components/products/intel-core-i5-12400f-lga1700-processor?_pos=32&_fid=d9d45494e&_ss=c,2025-03-18 22:10:08.565931,
Intel,Core i5-13500,LGA1700,31799,800,,,
Intel,Core i5-14400,LGA1700,-1,819,https://brightstarcomp.com/collections/pc-components/products/intel-core-i5-14400-lga1700-processor?_pos=33&_fid=d9d45494e&_ss=c,2025-03-18 22:10:08.565931,
Intel,Core i5-14400F,LGA1700,25736,699,https://brightstarcomp.com/collections/pc-components/products/intel-core-i5-14400f-lga1700-processor?_pos=34&_fid=d9d45494e&_ss=c,2025-03-18 22:10:08.565931,
Intel,Core i5-14600K,LGA1700,-1,1139,https://brightstarcomp.com/collections/pc-components/products/intel-core-i5-14600k-lga1700-processor?_pos=35&_fid=d9d45494e&_ss=c,2025-03-18 22:10:08.565931,
Intel,Core i5-14600KF,LGA1700,-1,1039,https://brightstarcomp.com/collections/pc-components/products/intel-core-i5-14600kf-lga1700-processor?_pos=36&_fid=d9d45494e&_ss=c,2025-03-18 22:10:08.565931,
Intel,Core i5-14600KF,LGA1700,-1,899,https://czone.my/czone/bx8071514600kf-3153.html,2025-03-19 14:21:03.468618,
Intel,Core i5-6400T,LGA1151,4280,133,,,
Intel,Core i5-6500,LGA1151,5623,166,,,
Intel,Core i5-7500T,LGA1151,5215,200,,,
Intel,Core i5-8500T,FCLGA1151-2,7721,260,,,
Intel,Core i5-9400T,FCLGA1151-2,8330,300,,,
Intel,Core i7 14700,None,-1,1399,https://czone.my/czone/bx8071514700-1739103181.html,2025-03-19 14:21:03.468618,
Intel,Core i7 14700F,None,-1,1299,https://czone.my/czone/bx8071514700f-1739103181.html,2025-03-19 14:21:03.468618,
Intel,Core i7-12700,LGA1700,-1,1249,https://brightstarcomp.com/collections/pc-components/products/intel-core-i7-12700-lga1700-processor?_pos=37&_fid=d9d45494e&_ss=c,2025-03-18 22:10:08.565931,
