Brand,Name,Size,Price,URL,Timestamp,Note
Fractal Design,Pop Mini Air RGB TG Clear Tint,Micro-ATX,RM 429.00,https://brightstarcomp.com/collections/pc-components/products/fractal-design-pop-mini-air-rgb-tg-clear-tint-micro-atx-pc-chassis?_pos=67&_fid=559632eaf&_ss=c,2025-03-18 22:12:12.820043,
Fractal Design,Terra,ITX,RM 959.00,https://brightstarcomp.com/collections/pc-components/products/fractal-design-terra-itx-chassis?_pos=68&_fid=559632eaf&_ss=c,2025-03-18 22:12:12.820043,
GIGABYTE,Aorus C400 Glass   - Black,,RM 699.00,https://brightstarcomp.com/collections/pc-components/products/gigabyte-aorus-c400-glass-mid-tower-pc-chassis-black?_pos=69&_fid=559632eaf&_ss=c,2025-03-18 22:12:12.820043,Mid-Tower
GIGABYTE,AORUS C500 Glass   - Black,,"RM 1,049.00",https://brightstarcomp.com/collections/pc-components/products/gigabyte-aorus-c500-glass-mid-tower-pc-chassis-black?_pos=70&_fid=559632eaf&_ss=c,2025-03-18 22:12:12.820043,Mid-Tower
Gigabyte,C102 Glass,Micro-ATX,From RM 209.00 to RM 239.00,https://brightstarcomp.com/collections/pc-components/products/gigabyte-c102-glass-micro-atx-pc-chassis?_pos=71&_fid=559632eaf&_ss=c,2025-03-18 22:12:12.820043,
Gigabyte,C301 Glass,ATX,From RM 359.00 to RM 369.00,https://brightstarcomp.com/collections/pc-components/products/gigabyte-c301-glass-mid-tower-atx-pc-chassis?_pos=72&_fid=559632eaf&_ss=c,2025-03-18 22:12:12.820043,Mid-Tower
GIGABYTE,C500 Panoramic Stealth  PC Chasis - White,,RM 459.00,https://brightstarcomp.com/collections/pc-components/products/gigabyte-c500-panoramic-stealth-mid-tower-pc-chasis-white?_pos=73&_fid=559632eaf&_ss=c,2025-03-18 22:12:13.717478,Mid-Tower
HYTE,Y40,ATX,RM 669.00,https://brightstarcomp.com/collections/pc-components/products/hyte-y40-mid-tower-atx-pc-chassis?_pos=74&_fid=559632eaf&_ss=c,2025-03-18 22:12:13.717478,Mid-Tower
HYTE,Y60 Dual Chamber,ATX,RM 889.00,https://brightstarcomp.com/collections/pc-components/products/hyte-y60-dual-chamber-mid-tower-atx-pc-chassis?_pos=75&_fid=559632eaf&_ss=c,2025-03-18 22:12:13.717478,Mid-Tower
HYTE,Y70 Dual Chamber,ATX,RM 899.00,https://brightstarcomp.com/collections/pc-components/products/hyte-y70-dual-chamber-mid-tower-atx-pc-chassis?_pos=76&_fid=559632eaf&_ss=c,2025-03-18 22:12:13.717478,Mid-Tower
HYTE,Y70 Touch Infinite Dual Chamber With Touchscreen,ATX,"RM 1,899.00",https://brightstarcomp.com/collections/pc-components/products/hyte-y70-touch-infinite-dual-chamber-with-touchscreen-mid-tower-atx-pc-chassis?_pos=77&_fid=559632eaf&_ss=c,2025-03-18 22:12:13.717478,Mid-Tower
Invasion,D-1000,Micro-ATX,From RM 229.00 to RM 239.00,https://brightstarcomp.com/collections/pc-components/products/invasion-d-1000-micro-atx-pc-chassis?_pos=78&_fid=559632eaf&_ss=c,2025-03-18 22:12:13.717478,
Invasion,D-3000,Micro-ATX,From RM 179.00 to RM 209.00,https://brightstarcomp.com/collections/pc-components/products/invasion-d-3000-micro-atx-pc-chassis?_pos=79&_fid=559632eaf&_ss=c,2025-03-18 22:12:13.717478,
Invasion,D-9000,Micro-ATX,From RM 249.00 to RM 259.00,https://brightstarcomp.com/collections/pc-components/products/invasion-d-9000-micro-atx-4x-120mm-argb-fans-micro-atx-pc-case-black-white?_pos=80&_fid=559632eaf&_ss=c,2025-03-18 22:12:13.717478,
Invasion,Genesis    - White,ATX,RM 339.00,https://brightstarcomp.com/collections/pc-components/products/invasion-genesis-mid-tower-atx-pc-chassis-white?_pos=81&_fid=559632eaf&_ss=c,2025-03-18 22:12:13.717478,Mid-Tower
